instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
A,522,515,523.518,0.291,523.518,0.291,523.518,0.291,523.518,0.291,300.049
B,714,691,719.958,0.834,719.958,0.834,719.958,0.834,719.958,0.834,300.042
C,724,699,749.734,3.554,746.907,3.164,730.449,0.891,730.449,0.891,300.027
D,972,944,1087.682,11.901,1044.598,7.469,1033.848,6.363,1033.848,6.363,300.213
E,375,375,385.125,2.7,379.214,1.124,378.177,0.847,378.177,0.847,300.04
F,721,704,732.54,1.601,727.369,0.883,727.369,0.883,727.369,0.883,300.361
G,3282,3178,3688.651,12.39,3688.651,12.39,3506.946,6.854,3457.67,5.353,301.057
H,607,598,652.842,7.552,650.706,7.2,616.429,1.553,604.808,-0.361,300.314
I,691,680,741.725,7.341,741.725,7.341,741.725,7.341,734.112,6.239,300.573
J,804,756,870.128,8.225,870.128,8.225,820.009,1.991,817.005,1.618,300.82
K,908,856,999.709,10.1,999.709,10.1,962.455,5.997,950.247,4.653,300.602
