trial_number,perturbation_steps,construction_iterations,mean_gap_pct,mean_obj_val
10,9,40,9.111780294305062,1552.9646026581813
28,17,52,9.136356307573314,1553.5565808044928
0,9,76,9.205193381155778,1553.7626318513505
29,9,100,9.332579028706315,1555.3765493419717
2,19,99,9.383366688235768,1555.7219054267719
25,16,98,9.383366688235768,1555.7219054267719
18,6,95,9.383366688235768,1555.7219054267719
19,7,94,9.383366688235768,1555.7219054267719
1,8,48,9.394769211946716,1555.2625234939649
16,6,92,9.488411217245725,1556.4362082240398
5,13,75,9.488411217245725,1556.4362082240398
6,20,83,9.488411217245725,1556.4362082240398
7,1,86,9.488411217245725,1556.4362082240398
11,20,83,9.488411217245725,1556.4362082240398
20,6,92,9.488411217245725,1556.4362082240398
3,20,78,9.488411217245725,1556.4362082240398
17,7,57,9.634484879833634,1557.5614233870265
27,18,51,9.646627844927083,1557.7089789848005
13,14,42,9.713889234275213,1558.2589825392786
26,16,53,9.745275791396194,1558.607289592177
14,14,48,9.751691049587782,1558.664791648588
9,1,72,9.770244160728538,1559.0967112105175
12,1,58,9.818780522887485,1559.3011742574547
4,9,61,9.849955954062837,1559.8491905395933
15,13,42,9.852190791184993,1559.5644857928482
21,11,68,10.03032469626451,1561.5518714659772
22,11,65,10.03032469626451,1561.5518714659772
23,11,64,10.03032469626451,1561.5518714659772
24,11,65,10.03032469626451,1561.5518714659772
8,4,69,10.102452631945303,1562.2327591788037
