initialization,instance,seed,initial_obj_val,initial_gap_pct,final_obj_val,final_gap_pct
random,I,11,961.613,41.414,961.613,41.414
random,I,22,964.734,41.873,964.734,41.873
random,I,33,983.533,44.637,983.533,44.637
random,I,44,949.928,39.695,949.928,39.695
random,I,55,962.656,41.567,962.656,41.567
greedy,I,11,776.867,14.245,771.115,13.399
greedy,I,22,776.867,14.245,773.001,13.677
greedy,I,33,776.867,14.245,748.434,10.064
greedy,I,44,776.867,14.245,767.307,12.839
greedy,I,55,776.867,14.245,767.307,12.839
proposed,I,11,739.689,8.778,735.056,8.096
proposed,I,22,750.352,10.346,733.966,7.936
proposed,I,33,735.056,8.096,735.056,8.096
proposed,I,44,746.862,9.833,736.095,8.249
proposed,I,55,758.224,11.504,745.545,9.639
