trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,mean_gap_pct,mean_obj_val
27,483.8484786386839,0.9211263517202707,84,44,6.837240077892353,1507.308631104269
37,349.99909278227256,0.9250668094488024,64,39,6.837240077892353,1507.308631104269
14,372.567568583686,0.9866044166423399,47,43,6.8421660451125925,1507.350797383674
25,457.0935795726972,0.9053658688644874,74,44,6.8421660451125925,1507.350797383674
24,423.6628229766247,0.9427600195293404,92,44,6.8421660451125925,1507.350797383674
6,25.721353630550453,0.9256989988470059,41,44,6.8421660451125925,1507.350797383674
28,123.78140759712855,0.9446890086356747,80,39,6.8421660451125925,1507.350797383674
15,481.86962588268375,0.9306742347336676,146,45,6.892242167280735,1508.9422165461776
0,36.13475446670582,0.9774127352508348,77,35,6.957897260721903,1506.9008877440776
36,338.7696062538674,0.9255704028528453,67,28,7.012453134282414,1510.087353480527
1,59.071416228555236,0.9549748824803244,122,29,7.0217074950248675,1510.1656700416297
5,25.576459304612076,0.9633291039694195,21,48,7.025872896495087,1509.8646379315112
26,477.925247003097,0.919059784646691,78,45,7.033177351798305,1513.4211367101461
2,185.033996342496,0.998981584177823,11,36,7.0689710424185295,1507.7336935676606
16,21.484659664533567,0.9224893817832707,150,42,7.082172703614455,1509.477508831329
17,21.602852324112835,0.9333658745418211,82,42,7.082172703614455,1509.477508831329
33,83.44032413361695,0.9807139918551847,20,30,7.094560464826553,1510.862446680864
29,111.05357134106376,0.9173057029069015,94,36,7.152790377666318,1510.2830910829814
32,89.55831375863232,0.9133577995446813,23,33,7.159516723153627,1514.5223801166778
34,343.7841367428286,0.9247703839588773,70,33,7.195597628005409,1514.6936596345242
35,357.38135514439347,0.9271380001703674,68,32,7.195597628005409,1514.6936596345242
12,195.2343655084004,0.9545224058831867,45,31,7.20245482732233,1514.6729272106393
4,125.82596675251891,0.9350789534212882,35,24,7.302950049852368,1516.5982292360197
38,179.65889324895298,0.9625499264619267,111,24,7.337701896573168,1517.702642924807
9,27.26140593904213,0.9716606546746516,106,22,7.4100456749664145,1518.160172805652
13,429.41555771427426,0.9322134487623553,148,52,7.434573406729516,1520.8078143461025
10,62.25829450318795,0.95285772269537,119,51,7.516168937925315,1521.5780761605909
31,127.5063773270489,0.9135012878018475,18,54,7.834931884373726,1533.5312067656353
30,141.98052859377214,0.9450223714013647,93,55,7.971896436180814,1537.8839402220647
11,45.02894469308982,0.9825723510449526,57,60,8.131684515312157,1544.8472126441768
39,177.5492854666901,0.9626377032671316,113,63,8.210872235769406,1545.5912288514648
7,44.26676387741283,0.9183941532871067,66,9,8.243854163485016,1536.811878212952
8,87.8767720262886,0.9560347068715694,59,58,8.30903883821412,1546.2337967498597
23,242.46628452209097,0.9017153847908023,50,59,8.30903883821412,1546.2337967498597
18,374.3304421877384,0.9343346272902957,38,75,8.581948875441507,1548.7342563771572
3,34.89537345126753,0.9073917519659914,103,68,8.58770188106747,1548.9422452311444
19,310.0483221742001,0.9982725217901902,33,15,8.672571665041964,1542.8118904805895
22,250.7112544647135,0.9047476936467117,42,74,8.729395581738183,1549.9964001830567
20,260.2272717459543,0.9950910831535917,38,74,8.841236746641124,1550.953760554626
21,308.97350230457397,0.9413262365890132,36,72,9.115282240923541,1553.5476029759484
